gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303	Cdh1	9523.34999163958	9589.88082626778	2535.37420118229	2649.031112945	6074.40903300866	1.88172558465394	0.0464936035471481	40.4727842346254	0	0
ENSMUSG00000000787	Ddx3x	44521.2691166751	45423.8120450637	17885.813624392	16938.3736337245	31192.3171049638	1.36905548099036	0.0352384130933096	38.8512240141225	0	0
ENSMUSG00000018924	Alox15	4903.2416529721	4633.60174979756	759.524116920703	754.464628285567	2762.70803699398	2.65606336010869	0.0669956991359349	39.6452816279969	0	0
ENSMUSG00000021136	Smoc1	603.412398707509	616.324859250182	4577.81942676991	4166.85969016432	2491.10409372298	-2.84254547264695	0.0736376973464847	-38.6017702220104	0	0
ENSMUSG00000025491	Ifitm1	903.880405724655	905.506269659235	4642.01988937495	4620.72504322209	2768.03290199523	-2.35600524181881	0.062330520050169	-37.7985814962316	0	0
ENSMUSG00000070327	Rnf213	2234.52443680059	2536.7573916964	9883.60681087499	9964.2726857584	6154.79033128259	-2.06012045162851	0.0543335522621094	-37.9161745525181	0	0
ENSMUSG00000021765	Fst	6112.54283506034	6276.01817725593	1534.28224191718	1480.25366781585	3850.77423051232	2.03911954506963	0.0549391856929636	37.1159404594304	1.55431108314999e-301	3.13149274366633e-298
ENSMUSG00000024406	Pou5f1	6601.21607724207	6209.02634472873	1355.82671874383	1202.3971009112	3842.11656040646	2.32622766302188	0.0629274460974193	36.966821431472	3.90968516014116e-299	6.89228622668385e-296
ENSMUSG00000026494	Kif26b	506.833396451998	558.265271059947	3560.40531599504	3398.55167420379	2006.01391442769	-2.71294798609201	0.0768823877577748	-35.286989194969	9.29819223355468e-273	1.45702672299802e-269
ENSMUSG00000030699	Tbx6	853.527250702551	981.430346523387	4840.06199436001	5219.94596686698	2973.74138961323	-2.46076189598095	0.070593002713143	-34.8584392419223	3.17190908489967e-266	4.47334338243401e-263
ENSMUSG00000055653	Gpc3	2439.23890311996	2561.32106362304	7488.60311267661	7318.20801302946	4951.84277311227	-1.56757039349317	0.0494917837388469	-31.6733460601211	3.61840723118623e-220	4.63912701649268e-217
ENSMUSG00000062393	Dgkk	3987.80478543909	4105.48280337485	1047.88212692641	977.936457895708	2529.77654340902	1.99876477802855	0.0654742504451986	30.5274938535035	1.1251644850948e-204	1.32234956110766e-201
ENSMUSG00000056758	Hmga2	2678.62275486439	2733.2667671095	7825.9275772116	7458.61951658982	5174.10915394383	-1.4982711157553	0.0491098820087735	-30.5085464364918	2.00729174272654e-204	2.17760272674403e-201
ENSMUSG00000006494	Pdk1	4320.46579320808	4380.14931673635	1233.95465413765	1194.48659366837	2782.26408943761	1.84131840610883	0.0608427040608959	30.26358598832	3.45720278859992e-201	3.48263792340176e-198
ENSMUSG00000012282	Wnt8a	7447.31417392497	7385.8495361231	2537.55048805026	2787.46498969464	5039.54479694824	1.47720043930155	0.0525554040166434	28.1074889812235	7.93472398084516e-174	7.46022748679062e-171
ENSMUSG00000021678	F2rl1	3665.04931636298	3694.59956387473	1071.82128247406	1083.73949226865	2378.80241374511	1.77127476680799	0.0641120453332678	27.627800011691	5.15882669715934e-168	4.54718330687739e-165
ENSMUSG00000068323	Slc4a5	1801.15711898739	1886.93661618262	276.388432231889	275.878940093936	1060.09027687396	2.73866499290372	0.100911706508713	27.139219894842	3.39407893957228e-162	2.81568795792869e-159
ENSMUSG00000046718	Bst2	1772.26596446652	1489.45174318794	145.811220153831	121.624048858617	882.288244166726	3.61445398988251	0.135099399718398	26.7540344177436	1.10828294246132e-157	8.68339685418441e-155
